month,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd,station,PM2.5
11,9,70.0,4.0,37.0,500.0,40.0,7.4,1017.3,-8.7,0.0,0.4,ENE,Wanliu,16.0
10,20,166.0,3.0,83.0,1600.0,2.0,12.5,1011.5,9.5,0.0,1.0,W,Wanshouxigong,134.0
7,22,35.0,2.0,54.0,800.0,71.0,25.4,1000.1,21.7,0.0,1.7,E,Changping,31.0
4,12,87.0,3.0,16.0,200.0,83.0,21.9,1008.3,-5.9,0.0,2.9,NNW,Nongzhanguan,22.0
10,9,57.0,2.0,30.0,400.0,6.0,17.3,1012.3,7.1,0.0,1.2,ENE,Huairou,10.0
1,0,27.0,11.0,36.0,700.0,33.0,-3.2,1017.0,-16.9,0.0,1.5,N,Changping,22.0
10,22,110.0,13.0,65.0,1200.0,2.0,13.5,1020.3,4.9,0.0,2.2,S,Shunyi,45.0
3,4,5.0,2.0,13.0,300.0,70.0,0.3,1026.5,-22.7,0.0,2.8,NNW,Dongsi,5.0
11,4,23.0,7.0,31.0,500.0,35.0,-3.5,1032.4,-17.9,0.0,3.0,NNW,Tiantan,11.0
2,17,33.0,16.0,17.0,400.0,84.0,9.0,1002.0,-15.5,0.0,0.9,W,Huairou,18.0
8,6,114.0,10.0,65.0,1000.0,7.0,23.6,1003.4,18.3,0.0,0.9,ENE,Wanshouxigong,33.0
5,2,165.0,12.0,19.0,1100.0,129.0,18.8,997.4,13.9,0.0,1.6,ENE,Aotizhongxin,165.0
9,6,31.0,2.0,16.0,400.0,57.0,16.7,1008.3,16.4,0.0,0.5,WSW,Huairou,13.0
7,14,85.0,13.0,18.0,1000.0,225.0,34.7,1001.5,17.9,0.0,3.2,WSW,Guanyuan,72.0
4,21,167.0,36.0,62.0,1300.0,134.0,21.4,1006.5,7.6,0.0,1.5,WSW,Nongzhanguan,100.0
10,18,202.0,33.7008,116.4051,,21.2058,12.2,1015.0,7.5,0.0,0.6,NW,Dingling,223.0
6,6,60.0,2.0,22.0,700.0,40.0,19.1,998.1,17.1,0.0,0.8,WSW,Huairou,56.0
3,1,147.0,22.0,51.0,1300.0,38.0,6.9,1005.7,-9.9,0.0,1.1,NE,Changping,81.0
12,5,5.0,1.9992,5.7484,,67.2588,-3.3,1018.9,-18.4,0.0,0.7,E,Gucheng,5.0
7,11,62.0,2.0,39.0,400.0,48.0,27.3,997.6,17.2,0.0,1.4,NNW,Changping,34.0
7,18,79.0,11.9952,38.8017,900.0,153.0,29.1,998.4,22.1,0.0,1.2,SW,Wanliu,77.0
5,13,310.0,47.0,34.0,1600.0,232.0,29.2,1004.0,14.2,0.0,1.7,SE,Dingling,286.0
5,6,86.0,7.0,108.0,800.0,2.0,15.2,1013.6,12.0,0.0,0.4,NNE,Wanliu,86.0
6,10,209.0,5.0,65.0,2400.0,90.0,27.0,998.9,20.8,0.0,1.7,ESE,Aotizhongxin,209.0
6,7,140.0,2.0,22.0,1100.0,14.0,21.5,994.2,19.2,0.0,0.5,E,Huairou,140.0
1,9,117.0,49.0,74.0,2900.0,5.0,-6.0,1029.0,-14.1,0.0,1.0,NE,Dongsi,97.0
5,1,20.0,2.0,37.0,300.0,74.0,17.7,1000.2,7.1,0.0,0.6,S,Gucheng,20.0
5,4,174.0,18.0,45.0,800.0,77.0,14.6,1002.3,13.3,0.0,0.0,SSW,Guanyuan,133.0
8,10,10.0,20.0,48.0,1300.0,16.0,30.3,1006.3,18.1,0.0,2.4,NW,Dongsi,66.0
6,16,30.0,2.0,15.0,400.0,69.0,19.3,993.4,18.0,0.9,1.0,N,Changping,30.0
10,23,45.0,,37.0,500.0,15.0,-1.4,1028.2,-10.2,0.0,1.4,NNW,Changping,32.0
5,7,248.0,10.0,65.0,1300.0,34.0,20.7,1000.4,14.8,0.0,0.0,NW,Gucheng,170.0
3,7,12.0,3.0,8.0,200.0,84.0,6.0,1010.7,-11.6,0.0,0.5,NNE,Dingling,8.0
12,5,23.0,7.0,53.0,900.0,10.0,-5.0,1027.0,-12.4,0.0,1.1,NNE,Shunyi,19.0
10,8,298.0,10.0,89.7161,2400.0,1.0,8.6,1014.0,5.3,0.0,1.6,NE,Wanliu,261.0
1,11,28.0,20.0,11.0,700.0,48.0,-7.0,1019.9,-18.4,0.0,3.4,E,Huairou,28.0
11,14,8.0,4.0,11.0,300.0,67.0,0.3,1031.7,-18.5,0.0,2.8,NNW,Wanliu,8.0
1,4,13.0,9.0,24.0,800.0,41.0,-8.5,1025.66666666667,-18.1,0.0,3.0,NW,Gucheng,13.0
5,8,94.0,31.0,66.0,1900.0,43.0,18.7,1002.4,2.1,0.0,1.6,E,Guanyuan,45.0
9,15,342.0,12.0,30.0,700.0,187.0,29.2,1002.4,11.7,0.0,2.0,SSW,Wanshouxigong,65.0
10,23,157.0,2.0,123.0,1600.0,4.0,12.9,1014.6,8.2,0.0,1.5,ENE,Wanshouxigong,113.0
7,2,95.0,2.0,34.0,1300.0,32.0,22.4,1002.3,20.7,0.4,1.0,ENE,Nongzhanguan,95.0
2,16,438.0,63.0,134.0,400.0,26.0,8.3,1011.1,-5.9,0.0,1.7,SSW,Dongsi,366.0
7,9,194.0,2.0,46.0,1800.0,79.0,29.3,999.4,24.4,0.0,0.7,W,Aotizhongxin,194.0
7,4,111.0,9.7104,68.9808,600.0,2.0,21.9,990.3,20.7,0.0,0.6,NNE,Wanliu,42.0
5,8,164.0,10.0,53.0,1200.0,43.0,20.0,997.4,15.0,0.0,2.0,SE,Shunyi,130.0
1,1,106.0,3.0,8.0,900.0,44.0,-15.3,1034.6,-30.1,0.0,5.0,NW,Changping,8.0
11,3,192.0,5.0,76.0,2100.0,2.0,6.9,1013.5,4.4,0.0,2.2,ESE,Guanyuan,157.0
11,16,36.0,2.0,47.0,1400.0,2.0,3.4,1016.1,2.5,1.1,1.2,NNW,Changping,36.0
10,6,46.0,2.0,35.0,1300.0,3.0,11.2,1021.0,9.8,0.0,1.9,NE,Shunyi,46.0
11,3,5.0,3.0,18.0,200.0,44.0,9.2,1023.0,-7.1,0.0,2.0,NE,Wanliu,3.0
3,2,180.0,62.0,81.0,1800.0,11.0,-1.4,1018.1,-12.1,0.0,1.1,E,Guanyuan,158.0
4,23,204.0,8.0,71.0,1400.0,35.0,10.0,1010.9,4.1,0.0,0.7,NNE,Huairou,204.0
7,5,50.0,2.0,48.0,800.0,17.0,21.5,1000.9,21.2,0.0,0.9,E,Guanyuan,50.0
6,18,48.0,2.0,23.0,300.0,121.0,27.5,997.7,9.8,0.2,4.3,WSW,Dongsi,36.0
11,0,186.0,10.0,155.0,2900.0,3.0,7.0,1018.3,5.0,0.0,0.7,NE,Aotizhongxin,177.0
1,11,19.0,12.0,13.0,500.0,69.0,3.0,1018.0,-21.2,0.0,5.6,WNW,Changping,12.0
11,1,368.0,14.0,121.0,7300.0,11.0,-3.1,1023.2,-3.2,0.0,0.2,SW,Wanshouxigong,368.0
3,19,37.0,5.0,29.0,500.0,77.0,9.6,1019.0,-15.8,0.0,2.2,WSW,Aotizhongxin,14.0
12,19,398.0,21.0,124.0,3600.0,6.0,-1.7,1023.3,-7.0,0.0,0.6,SSE,Nongzhanguan,357.0
2,2,271.0,74.0,83.0,4900.0,4.0,1.0,1011.0,-7.3,0.0,1.1,WNW,Gucheng,250.0
12,7,50.0,6.0,14.0,300.0,52.0,-7.0,1027.0,-24.2,0.0,2.6,NNW,Nongzhanguan,7.0
4,14,131.0,24.0,20.0,900.0,175.0,26.7,1007.6,8.6,0.0,4.3,S,Aotizhongxin,123.0
8,16,85.0,2.0,18.0,900.0,182.0,31.5,1005.1,22.5,0.0,1.7,SW,Wanliu,85.0
8,21,103.0,3.0,108.0,1800.0,23.0,20.9,1006.5,15.2,0.0,0.6,WNW,Wanshouxigong,35.0
8,21,124.0,13.0,38.0,1500.0,214.0,27.4,1003.4,20.0,0.0,1.6,WSW,Guanyuan,75.0
1,18,47.0,21.0,85.0,1000.0,1.0,5.1,1013.7,-16.1,0.0,0.6,ESE,Wanshouxigong,35.0
6,20,60.0,6.0,33.0,400.0,90.0,25.9,1004.5,14.4,0.0,2.9,WSW,Tiantan,40.0
4,1,137.0,44.0,56.0,700.0,38.0,16.8,1000.1,2.0,0.0,2.9,WSW,Dongsi,68.0
4,3,146.0,12.0,37.0,400.0,57.0,14.0,1004.6,-5.2,0.0,3.5,WSW,Tiantan,48.0
11,21,32.0,7.0,42.7024,600.0,1.071,1.0,1018.9,-7.3,0.0,0.2,WSW,Wanliu,16.0
3,18,208.0,56.0,83.0,2299.0,107.0,12.0,1010.9,1.0,0.0,0.9,SSE,Dingling,208.0
9,21,57.0,2.0,22.0,700.0,73.0,20.8,1009.1,17.0,0.0,1.2,E,Huairou,34.0
7,0,42.0,2.0,9.0,1100.0,29.0,21.6,996.7,17.2,0.0,1.3,WNW,Huairou,42.0
9,21,164.0,2.0,48.0,1500.0,101.0,24.3,1009.3,20.8,0.0,1.0,SE,Wanshouxigong,157.0
9,13,139.0,16.0,50.0,1300.0,181.0,25.3,1014.1,14.4,0.0,2.1,SW,Guanyuan,139.0
9,9,223.0,11.0,119.0,2400.0,12.0,20.4,1006.0,16.8,0.0,2.0,ESE,Aotizhongxin,223.0
6,23,107.0,2.0,66.0,1400.0,73.0,21.3,997.6,20.1,0.0,0.3,SSW,Wanshouxigong,107.0
8,9,104.0,2.0,19.0,900.0,2.0,28.9,998.1,25.1,0.0,0.8,NE,Huairou,104.0
2,22,43.0,11.0,23.0,800.0,47.0,-4.1,1026.0,-21.7,0.0,0.7,NNW,Dingling,32.0
3,20,344.0,13.0,43.0,800.0,54.0,10.0,1023.8,-8.2,0.0,4.4,SW,Aotizhongxin,47.0
6,21,132.0,12.0,59.0,800.0,114.0,28.8,997.3,17.3,0.0,1.1,SW,Wanliu,59.0
8,2,17.0,2.0,10.0,400.0,2.0,20.3,996.9,18.4,0.0,1.2,N,Huairou,8.0
7,6,30.0,3.0,,400.0,4.0,22.1,997.8,22.1,0.0,0.5,ENE,Huairou,18.0
7,4,22.0,2.0,16.0,200.0,74.0,24.7,990.7,19.3,0.0,1.1,E,Changping,22.0
6,8,115.0,36.0,111.0,1800.0,24.0,23.1,1003.1,11.5,0.0,1.1,ENE,Nongzhanguan,86.0
11,15,209.0,32.0,104.4977,1700.0,10.0674,13.3,1012.9,4.7,0.0,0.7,SW,Wanliu,178.0
9,21,185.0,7.0,102.0,1200.0,2.0,16.7,1015.6,13.2,0.0,0.0,S,Shunyi,112.0
8,17,8.0,13.7088,42.9077,500.0,33.0,22.6,997.1,21.2,1.0,0.9,E,Wanliu,21.0
11,10,81.0,31.0,69.0,2100.0,3.8556,7.7,1018.9,-0.1,0.0,1.3,SSE,Shunyi,75.0
6,4,336.0,13.0,98.0,700.0,2.0,23.3,999.5,7.0,0.0,0.4,WNW,Gucheng,85.0
5,3,115.0,4.0,41.0,1300.0,66.0,11.4,1011.9,9.1,0.0,0.1,S,Shunyi,96.0
6,17,21.0,2.0,22.0,300.0,92.0,24.2,1005.1,6.5,0.0,4.7,WNW,Dongsi,7.0
11,20,216.0,10.0,97.0,3600.0,2.0,6.8,1009.0,6.1,0.0,0.7,NNE,Guanyuan,190.0
12,15,95.0,15.0,42.0,1000.0,38.0,1.8,1025.2,-17.2,0.0,2.8,S,Gucheng,59.0
7,6,29.0,2.0,32.0,500.0,6.0,22.2,999.5,21.0,0.0,0.7,NW,Dingling,21.0
2,6,258.0,36.0,76.0,3000.0,74.0,0.1,1004.9,-5.9,0.0,0.9,SSW,Gucheng,258.0
9,3,10.0,2.0,22.0,,2.0,12.2,1010.1,7.9,0.0,1.6,N,Shunyi,6.0
2,7,169.0,,,,,-2.0,1024.8,-4.8,0.0,0.8,ESE,Wanshouxigong,169.0
7,9,113.0,15.0,48.0,900.0,57.0,31.5,996.9,21.7,0.0,2.4,SW,Tiantan,112.0
9,1,90.0,4.0,70.0,2200.0,2.0,18.8,1010.0,18.1,0.0,0.5,SSE,Nongzhanguan,89.0
11,18,104.0,13.0,88.0,1700.0,2.0,2.6,1022.2,-9.4,0.0,0.7,ENE,Changping,66.0
4,18,50.0,3.0,10.0,200.0,90.0,18.6,999.8,-3.0,0.0,3.2,NNE,Changping,8.0
4,20,353.0,5.0,43.0,400.0,85.0,21.5,1011.3,2.7,0.0,1.7,ESE,Guanyuan,83.0
11,17,117.0,4.0,70.0,1900.0,2.0,6.5,1025.0,4.5,0.0,0.6,WNW,Wanliu,117.0
11,22,124.0,36.0,62.0,1600.0,,-2.0,1016.8,-6.9,0.0,0.8,W,Wanshouxigong,98.0
7,13,100.0,5.0,43.0,1700.0,42.0,24.5,999.6,22.7,0.0,2.1,NNW,Nongzhanguan,32.0
3,5,124.0,23.0,99.0,1900.0,2.0,3.8,1021.3,-4.7,0.0,1.1,NNW,Changping,121.0
4,5,122.0,3.0,37.0,400.0,35.0,-1.5,1013.1,-9.4,0.0,2.1,WNW,Huairou,45.0
3,15,53.0,13.0,23.0,500.0,67.0,8.1,1018.8,-16.3,0.0,3.9,SW,Aotizhongxin,27.0
12,11,182.0,44.0,103.0,3200.0,3.0,-0.4,1022.7,-4.5,0.0,1.5,ENE,Guanyuan,163.0
2,23,100.0,72.0,60.0,1500.0,19.0,-1.5,1019.7,-7.2,0.0,1.1,NE,Changping,104.0
10,5,62.0,23.0,34.0,700.0,37.0,14.4,1012.0,-0.1,0.0,2.1,NNW,Dingling,18.0
1,4,114.0,57.0,79.0,3100.0,7.0,-2.0,1021.0,-16.9,0.0,0.1,NW,Changping,109.0
11,3,24.0,2.0,7.0,200.0,44.0,2.7,1007.6,-9.6,0.0,1.3,NNE,Dingling,11.0
8,12,69.0,6.0,32.0,700.0,151.0,29.8,1005.8,15.5,0.0,3.2,S,Nongzhanguan,39.0
4,15,49.0,13.0,15.0,1100.0,144.0,16.8,1003.2,8.2,0.0,1.6,SE,Dingling,94.0
4,9,329.0,29.0,113.0,1700.0,8.0,16.7,1007.0,7.6,0.0,1.0,ESE,Tiantan,157.0
5,5,10.0,2.0,33.0,400.0,53.0,10.9,991.8,4.8,0.0,0.7,WSW,Guanyuan,8.0
9,15,52.0,10.0,61.0,2000.0,51.0,17.5,1019.7,13.2,0.0,1.0,SW,Aotizhongxin,52.0
8,21,26.0,2.0,27.0,200.0,49.0,24.0,1000.4,17.7,0.0,1.6,NW,Changping,12.0
12,10,17.0,17.0,63.0,900.0,17.0,-6.5,1036.3,-17.3,0.0,1.6,NE,Aotizhongxin,17.0
1,3,526.0,12.0,85.0,6000.0,2.0,-1.0,1020.0,-7.8,0.0,3.1,WSW,Wanliu,445.0
8,21,166.0,10.5672,86.6366,1500.0,21.0,23.5,999.9,21.8,0.1,0.7,ESE,Wanliu,93.0
5,18,51.0,2.0,22.0,300.0,111.0,27.0,995.2,-4.9,0.0,2.7,N,Wanliu,7.0
12,19,434.0,5.0,134.0,3900.0,2.0,-1.7,1023.3,-7.0,0.0,0.6,SSE,Tiantan,352.0
6,21,129.0,6.0,69.0,700.0,130.0,26.4,997.6,19.0,0.0,0.8,SW,Wanliu,68.0
11,3,137.0,42.0,104.0,2200.0,2.142,4.6,1012.7,1.4,0.0,0.7,W,Huairou,150.0
9,13,6.0,2.0,8.0,200.0,83.0,24.3,1012.1,5.1,0.0,1.3,ENE,Shunyi,6.0
8,15,10.0,2.0,13.0,300.0,137.0,33.3,998.3,10.6,0.0,1.0,ENE,Nongzhanguan,3.0
5,4,114.0,15.0,72.0,700.0,35.0,13.3,995.0,12.5,0.0,0.7,ENE,Guanyuan,41.0
1,2,27.0,16.0,49.0,700.0,38.0,-2.45,1026.5,-22.6,0.0,1.2,NE,Aotizhongxin,17.0
7,19,159.0,7.0,16.0,1100.0,194.0,29.1,993.6,25.5,0.0,0.0,SE,Guanyuan,144.0
3,12,19.0,12.0,25.0,500.0,79.0,8.1,1018.1,-17.9,0.0,1.4,N,Tiantan,18.0
3,14,11.0,2.0,2.0,300.0,91.0,4.0,1025.8,-28.9,0.0,5.1,W,Dingling,10.0
2,11,27.0,7.0,33.0,600.0,68.0,12.9,1016.7,-11.6,0.0,2.6,NW,Shunyi,23.0
12,8,42.0,8.0,32.0,500.0,29.0,0.5,1028.8,-13.9,0.0,2.7,NNW,Wanshouxigong,9.0
4,7,56.0,2.0,48.0,200.0,32.0,12.8,1011.8,-9.6,0.0,1.5,NE,Nongzhanguan,24.0
6,18,12.0,3.0,40.0,700.0,30.0,17.9,1008.2,15.3,0.1,1.6,NW,Dongsi,3.0
9,19,135.0,10.0,39.0,800.0,93.0,20.7,1003.3,19.4,0.0,0.5,E,Huairou,92.0
7,10,30.4,4.0,14.0,800.0,72.0,26.4,996.7,20.7,0.0,1.5,ESE,Dingling,32.0
1,19,153.0,54.0,85.0,3300.0,5.0,-5.1,1030.4,-14.2,0.0,0.5,E,Shunyi,141.0
6,21,228.0,20.0,95.0,3500.0,21.0,22.2,996.1,19.7,0.0,0.8,ENE,Gucheng,144.0
9,9,105.0,3.0,57.0,700.0,,23.4,1004.0,16.2,0.0,1.0,S,Shunyi,61.0
6,17,74.0,7.0,19.0,600.0,196.0,32.2,986.8,14.8,0.0,1.6,NNE,Changping,30.0
9,7,17.0,2.0,38.0,300.0,40.0,23.2,1008.2,4.2,0.0,3.1,WNW,Nongzhanguan,3.0
5,4,163.0,2.0,109.0,1300.0,2.0,19.8,995.0,17.8,0.0,1.3,WNW,Aotizhongxin,163.0
3,4,3.0,7.0,,200.0,84.0,-1.9,1027.1,-24.5,0.0,3.2,NNW,Dongsi,3.0
5,12,17.0,2.0,16.0,300.0,81.0,24.5,1009.2,-6.8,0.0,2.3,SSW,Changping,17.0
2,2,40.0,8.0,19.0,800.0,26.0,-1.0,1028.0,-3.8,0.0,2.9,S,Dongsi,40.0
8,3,9.0,2.0,13.0,100.0,49.0,19.9,999.9,16.1,0.0,1.4,NW,Changping,9.0
5,6,23.0,2.0,21.0,300.0,87.0,12.9,1014.2,9.7,0.0,1.4,SE,Shunyi,23.0
12,14,143.0,27.0,90.0,2100.0,16.0,8.4,1019.7,-5.5,0.0,2.2,ESE,Wanshouxigong,110.0
2,6,137.0,61.0,58.0,1900.0,40.0,-3.6,1032.8,-10.9,0.0,1.4,SE,Nongzhanguan,144.0
10,13,165.0,56.0,67.0,1300.0,84.0,17.5,1016.5,4.1,0.0,1.1,SW,Huairou,156.0
4,4,20.0,3.0,3.0,200.0,89.0,5.3,1009.2,-10.5,0.0,4.4,NW,Dingling,10.0
2,17,40.0,13.0,2.0,300.0,93.0,11.0,1016.0,-11.8,0.0,3.3,NNW,Dingling,17.0
8,8,55.0,1.0,21.0,900.0,36.0,27.2,1002.2,19.8,0.0,1.3,SE,Dingling,38.0
8,4,24.0,4.0,16.0,600.0,42.0,19.5,1010.1,18.7,0.0,1.1,NW,Shunyi,24.0
2,0,122.0,54.0,113.0,2400.0,9.0,8.0,1008.0,-15.6,0.0,2.2,NNE,Wanshouxigong,115.0
4,18,196.0,2.0,4.0,200.0,126.0,26.5,992.6,-5.2,0.0,3.8,N,Dingling,46.0
2,14,6.0,8.0,,200.0,81.0,6.1,1017.2,-14.1,0.0,3.6,WNW,Dingling,9.0
11,21,97.0,6.0,52.0,900.0,9.0,4.3,1007.2,-3.5,0.0,1.0,N,Changping,58.0
6,14,6.0,4.0,21.0,500.0,145.0,31.0,993.1,12.8,0.0,0.8,NW,Gucheng,3.0
3,3,24.0,2.0,69.0,400.0,18.0,4.9,1028.4,-11.7,0.0,1.3,N,Wanliu,10.0
4,11,188.0,18.0,101.0,1100.0,20.0,23.2,1003.0,-6.8,0.0,3.7,ESE,Gucheng,65.0
10,17,355.0,15.0,85.0,2100.0,207.0,23.7,1008.8,16.2,0.0,1.5,SW,Wanliu,355.0
5,21,136.0,38.0,,2000.0,179.0,21.1,1007.0,17.9,11.4,6.3,SW,Dongsi,136.0
5,21,153.0,6.0,39.0,500.0,59.0,17.0,1008.3,-4.9,0.0,1.3,SSE,Guanyuan,25.0
3,22,131.0,16.0,110.0,1100.0,25.0,6.7,1010.4,-6.3,0.0,0.8,SSE,Nongzhanguan,86.0
6,14,25.0,3.0,11.0,500.0,142.0,31.1,991.5,11.5,0.0,3.8,SSE,Dingling,25.0
1,15,35.0,15.0,43.0,700.0,39.0,5.0,1025.0,-16.2,0.0,1.2,E,Changping,32.0
3,3,194.0,25.0,43.0,1300.0,22.0,1.1,1010.7,-6.5,0.0,0.4,W,Gucheng,83.0
8,23,64.0,2.0,91.0,2300.0,8.0,23.2,998.5,22.4,0.0,0.6,ENE,Nongzhanguan,64.0
12,23,20.0,9.0,20.0,,35.343,2.8,1018.9,-11.2,0.0,2.6,N,Guanyuan,9.0
10,1,30.0,2.0,50.0,1000.0,2.0,11.1,1015.0,10.0,0.0,1.0,N,Wanshouxigong,30.0
1,0,17.0,7.0,18.0,800.0,57.0,-3.3,1027.6,-18.4,0.0,5.5,N,Gucheng,17.0
7,1,134.0,2.0,68.0,1300.0,56.0,25.9,1003.1,20.0,0.0,1.2,S,Dongsi,134.0
12,21,370.0,27.0,129.0,3800.0,3.0,-1.2,1020.4,-4.9,0.0,1.5,NNE,Dongsi,316.0
3,0,341.0,13.0,49.0,3300.0,28.0,4.3,1006.5,-0.1,0.0,1.5,WNW,Huairou,341.0
4,4,82.0,5.0,12.0,300.0,62.0,10.8,1006.0,-6.6,0.0,1.6,N,Huairou,8.0
10,22,134.0,10.0,93.6168,,,13.4,1014.4,12.3,0.0,0.5,SSW,Wanliu,97.0
11,7,234.0,50.0,105.0,5300.0,2.0,-4.6,1022.1,-5.1,0.0,0.2,W,Guanyuan,234.0
6,11,11.0,2.0,31.0,400.0,28.0,21.1,1001.7,15.0,0.0,2.5,W,Shunyi,11.0
11,18,126.0,5.0,66.0,2100.0,2.0,5.6,1027.0,3.6,0.0,0.7,ESE,Wanshouxigong,126.0
4,13,162.0,29.0,46.0,1000.0,157.0,21.7,1006.1,7.1,0.0,2.2,SSW,Wanliu,160.0
1,15,54.0,94.0,56.0,900.0,39.0,2.3,1019.3,-22.5,0.0,0.9,ENE,Huairou,35.0
8,15,75.0,3.0,16.0,700.0,213.0,29.8,999.6,18.9,0.0,1.5,S,Gucheng,47.0
5,1,101.0,9.0,23.0,700.0,127.0,22.0,1001.6,11.4,0.0,3.0,SSW,Tiantan,66.0
5,5,55.0,13.0,31.0,900.0,83.0,23.7,997.3,9.3,0.0,1.5,NW,Changping,37.0
2,7,100.0,2.0,61.0,1900.0,2.0,-3.7,1012.3,-4.8,0.0,1.0,NW,Changping,100.0
6,21,61.0,5.0,36.0,500.0,143.0,27.3,1003.2,14.0,0.0,1.8,SSE,Dongsi,30.0
9,16,170.0,12.0,20.0,1200.0,283.0,29.1,999.9,17.9,0.0,1.7,E,Changping,116.0
11,16,145.0,2.0,73.0,1700.0,8.0,5.8,1022.9,2.6,0.0,1.7,SSW,Aotizhongxin,141.0
3,23,223.0,107.0,68.0,1700.0,12.0,-0.7,1014.3,-12.3,0.0,1.5,W,Huairou,159.0
3,5,27.0,12.0,36.0,500.0,64.0,5.5,1013.8,-7.7,0.0,0.7,SSE,Nongzhanguan,27.0
1,6,163.0,29.0,82.0,1900.0,2.0,-4.4,1021.4,-9.4,0.0,1.6,NW,Dingling,163.0
6,10,78.0,4.0,17.0,500.0,,27.0,1000.6,15.4,0.0,0.9,SE,Huairou,33.0
5,22,38.0,2.0,15.0,300.0,85.0,18.2,1004.5,4.0,0.0,1.3,NW,Dingling,17.0
2,19,11.0,2.0,2.0,200.0,99.0,11.7,1008.9,-13.3,0.0,1.3,NNE,Dingling,11.0
